総合教養科目（般教）,杉本キャンパス,火曜日,２限目,東洋社会の歴史,多和田裕司,"期末テスト, 期末レポート",持ち込みなし,受講生が多く、教授も話しているだけなので内職がしやすい,かなり専門的で理論的な内容なので、興味のない人にとってはきつい。色々な国の文化を紹介するような講義ではない。,"テスト勉強はきちんとしないときつい。
2025年度前期は受講生の約半分が単位を落としている。
レポートは外国人にインタビューするものである。
授業スライドをムードルに載せてくれないのでノートを取るか写真を撮らないといけない。",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,対面授業・実習,対面
総合教養科目（般教）,杉本キャンパス,火曜日,２限目,日本の古典文学,西垣 順子,"期末レポート, 毎回の課題",,発達について学べます。毎回課題を出さないといけないが、多少期限より遅れても見てくれるから頑張って出すべき。コツコツ課題を出せば単位は普通にもらえます。,1限なところ。朝起きれる自信があればとれば良いと思います！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,対面授業・実習,
総合教養科目（般教）,杉本キャンパス,火曜日,２限目,日本の古典文学,小林直樹,"期末レポート, 毎回の課題",,・授業が10〜15分ぐらい早く終わる ・基本毎回のコメントカードと2000字の期末レポートのみ,特になし,・たまにコメントカードに書く内容を先生に指定されるため、出席せずにコメントカードだけ出したら出席してないのがバレるかも,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,対面授業・実習,
総合教養科目（般教）,杉本キャンパス,火曜日,２限目,日本の古典文学,多和田裕司,"期末テスト, 中間レポート","レジュメ, 自筆ノート, 教科書",テストが持ち込みありで簡単,フィールドワークで自力で外国人にアンケート取らないといけないところが面倒/レジュメがムードルに公開されない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,対面授業・実習,対面
総合教養科目（般教）,杉本キャンパス,火曜日,２限目,日本の古典文学,小林,"出席点あり, 期末レポート, 毎回の課題",,個人的には面白かった。真面目に授業を受けれる人であれば余裕。,レポートが長いと感じた。毎授業コメントカードを提出しなければいけない。しかも、○○についてのコメントを書いておいてくださいと指定される時があるため、出席し、ある程度真面目に授業を受けることが望ましい。,期末レポートは2000字以上。毎授業コメントカードの提出あり。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,対面授業・実習,遠隔
総合教養科目（般教）,中百舌鳥キャンパス,火曜日,２限目,日本の古典文学,市田先生,"出席点あり, 期末レポート, 中間レポート",,周りの人とおしゃべりできる,出席確認のフォームの提出がちょっとめんどい,数回、抜き打ち出欠確認があった,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,対面授業・実習,
総合教養科目（般教）,杉本キャンパス,火曜日,２限目,日本の古典文学,多和田裕司,"期末テスト, 期末レポート","レジュメ, 自筆ノート",,"期末テストに加えて、7月頭締切で2800字のレポートがある
外国人にインタビューするのがしんどい
レジュメが配布されない",教授がスライドを作り忘れていた部分を期末テストで問題にされた。しかも配点が50点（60点満点）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,対面授業・実習,対面
総合教養科目（般教）,杉本キャンパス,火曜日,２限目,文化人類学,小林直樹,"出席点あり, 期末レポート, 毎回の課題",,,,学生証とオンラインのコミュカはセットでないといけない（コミュカは指示された内容を含めないといけない）から、不正はバレてるっぽい,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,対面授業・実習,
総合教養科目（般教）,中百舌鳥キャンパス,火曜日,２限目,文化人類学入門,西田芳正,"期末テスト, 毎回の課題","レジュメ, 自筆ノート",内職ができる、レジュメが詳しいため授業を聞かなくても感想が書きやすい、感想が遅れても教授に直接言えばメールでも認めてくれる場合がある、もしかすると出席しなくて良いかも(出席回数に規定があるかは直接確認すべき),話が毎回ほぼ同じでつまらない、資料が画像の場合があり生成AIで読み取れない,テストの時間が足りない事がある、2つの単語を関連付けて意味を答える問いがあるため、テスト前に単語だけまとめたプリントを作ると楽、テスト前にレジュメは読み直すべき,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,対面授業・実習,対面
総合教養科目（般教）,杉本キャンパス,火曜日,３限目,音楽と対話,山﨑 孝史,"出席点あり, 期末テスト, 中間テスト","レジュメ, 自筆ノート, 教科書, 紙媒体",紙媒体持ち込みできるので授業のスライドを印刷すれば教科書買わなくても割と点数はとれた,そこそこ授業聞いてスライドのコピーを持ち込めば単位をギリ落とさないレベルにはできるが、テストもけっこう難しい。,先生が優しく、スライドも丁寧なので、テスト問題の答えは半分くらい載っているがギリ載っていないことも出るのでメモをとっていた方がいい,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,対面授業・実習,対面
総合教養科目（般教）,杉本キャンパス,火曜日,３限目,音楽と対話,西垣順子,"出席点あり, 期末レポート, 中間レポート, 毎回の課題",,試験がない,ほぼ毎回ある課題が負担になる,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,対面授業・実習,
総合教養科目（般教）,中百舌鳥キャンパス,火曜日,３限目,現代民族学入門,西田芳生,"期末テスト, 毎回の課題","レジュメ, 自筆ノート",コメントシートを出すだけである点,コメントシートがmoodle提出なので出し忘れる点,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,対面授業・実習,対面
総合教養科目（般教）,杉本キャンパス,火曜日,３限目,世界の中の日本経済,向井伸哉,"出席点あり, 期末テスト",持ち込みなし,"出席点が50点ある
最終回で配られるレジュメさえ覚えれば期末テストは大丈夫
毎回30分くらい早く終わる",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,対面授業・実習,対面
総合教養科目（般教）,中百舌鳥キャンパス,火曜日,３限目,文化人類学,西尾歩,期末テスト,持ち込みなし,,授業中内職は全く出来ません。スマホやパソコンを使っていると教授に即注意されます。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,対面授業・実習,対面
総合教養科目（般教）,杉本キャンパス,火曜日,３限目,文化人類学入門,吉川 貴仁,"期末レポート, 2回に1回ぐらいの小テスト",,初回以外はオンデマンド授業である点,,期末試験はないが、2回に1回ぐらいのmoodle上での小テストの成績が全体の80%だったので、受験忘れなどがあると大きな失点,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PDF資料配布・動画配信などのオンデマンド授業・実習,
総合教養科目（般教）,杉本キャンパス,火曜日,３限目,文化人類学入門,川西優喜,"出席点あり, 毎回の課題",,普通に出席して毎回のレポートだせば単位もらえる。２回オンデマンドになった。特にテスト前のオンデマンドは助かった。,たまに授業内のスライドから答えがでる課題が出る。普段は寝ててもいいがその時は起きていないといけない。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"対面授業・実習, PDF資料配布・動画配信などのオンデマンド授業・実習",
総合教養科目（般教）,中百舌鳥キャンパス,火曜日,３限目,文化人類学入門,山崎正純,"期末レポート, 中間レポート",,"出席点が一切ない。先生の語りが滑らかで、興味のある人なら面白いと思う。
レポートがそれほど重くない。",,先生が板書したことはメモしておくとレポートに役立つ。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,対面授業・実習,
